element	sp_num	obs_wl_vac	unc_obs_wl	ritz_wl_vac	unc_ritz_wl	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Fe	19	"9.61"	"0.10"	"9.61"	"0.03"	""	""		"11.089"	"1302"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2P*).5d"	"3P*"	"1"	3	3		""	"L4409"	
Fe	21	"9.632"	"0.010"	"9.634"	"0.006"	""	"1.2e+11"	E	"0.0000"	"1287.0"	"2s2.2p2"	"3P"	"0"	"2s2.2p.4s"	"3P*"	"1"	1	3		"T5298"	"L6738"	
Fe	19	"9.64"	"0.10"	"9.64"	"0.03"	""	""		"9.330"	"1296"	"2s2.2p4"	"3P"	"0"	"2s2.2p3.(2P*).5d"	"3D*"	"1"	1	3		""	"L4409"	
Fe	26	""	""	"9.674501"	"0.000010"	""	"2.98e+13"	A	"(6973.1751)"	"(8254.732)"	"2p"	"2P*"	"3/2"	"3d"	"2D"	"5/2"	4	6		"T7228extrap"	"L11926"	
Fe	19	"9.68"	"0.10"	"9.68"	"0.03"	""	""		"20.93498"	"1302"	"2s2.2p4"	"1D"	"2"	"2s2.2p3.(2P*).5d"	"1F*"	"3"	5	7		""	"L4409"	
Fe	19	"9.68"	"0.10"	"9.68"	"0.03"	""	""		"0.0000"	"1281"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*).5d"	"3D*"	"2"	5	5		""	"L4409"	
Fe	19	"9.68"	"0.10"	"9.68"	"0.03"	""	""		"0.0000"	"1281"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(2D*).5d"	"3D*"	"3"	5	7		""	"L4409"	
Fe	21	""	""	"9.6937"	"0.0010"	""	"5.0e+10"	E	"46.12"	"1325.1"	"2s2.2p2"	"1S"	"0"	"2s2.2p.4d"	"3P*"	"1"	1	3		"T3664"	""	
Fe	21	""	""	"9.7055"	"0.0010"	""	"4.0e+11"	E	"30.322"	"1307.8"	"2s2.2p2"	"1D"	"2"	"2s2.2p.4d"	"3F*"	"3"	5	7		"T3664"	""	
Fe	21	""	""	"9.744"	"0.010"	""	"2.3e+11"	E	"14.5500"	"1287.0"	"2s2.2p2"	"3P"	"2"	"2s2.2p.4s"	"3P*"	"1"	5	3		"T5298"	"L11926"	
Fe	19	"9.78"	"0.10"	"9.77"	"0.03"	""	""		"11.089"	"1281"	"2s2.2p4"	"3P"	"1"	"2s2.2p3.(2D*).5d"	"3D*"	"2"	3	5		""	"L4409"	
Fe	21	""	""	"9.8222"	"0.0010"	""	"2.2e+11"	E	"46.12"	"1308.4"	"2s2.2p2"	"1S"	"0"	"2s2.2p.4d"	"3D*"	"1"	1	3		"T3664"	""	
Fe	19	"9.81"	"0.10"	"9.78"	"0.03"	""	""		"20.93498"	"1288"	"2s2.2p4"	"1D"	"2"	"2s2.2p3.(2D*).5d"	"1F*"	"3"	5	7		""	"L4409"	
Fe	19	"9.81"	"0.10"	"9.81"	"0.03"	""	""		"0.0000"	"1263"	"2s2.2p4"	"3P"	"2"	"2s2.2p3.(4S*).5d"	"3D*"	"3"	5	7		""	"L4409"	
Fe	19	"9.81"	"0.10"	"9.81"	"0.03"	""	""		"20.93498"	"1284"	"2s2.2p4"	"1D"	"2"	"2s2.2p3.(2D*).5d"	"1D*"	"2"	5	5		""	"L4409"	
Fe	19	"9.82"	"0.10"	"9.82"	"0.03"	""	""		"40.312"	"1303"	"2s2.2p4"	"1S"	"0"	"2s2.2p3.(2P*).5d"	"1P*"	"1"	1	3		""	"L4409"	
Fe	18	"9.98"	"0.10"	"9.983"	"0.005"	""	""		"12.718"	"1254.7"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D).6d"	"2P"	"1/2"	2	2		""	"L4409"	
Fe	18	"9.98"	"0.10"	"9.983"	"0.005"	""	""		"12.718"	"1254.7"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D).6d"	"2D"	"3/2"	2	4		""	"L4409"	
Fe	20	"9.991"	"0.010"	"9.991"	"0.003"	""	""		"0.0000"	"1241.0"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"3/2"	4	4		""	"L19066"	
Fe	20	"9.991"	"0.010"	"9.991"	"0.003"	""	""		"32.269"	"1273.2"	"2s2.2p3"	"2P*"	"1/2"	"2s2.2p2.(1S).4d"	"2D"	"3/2"	2	4		""	"L19066"	
Fe	20	"9.991"	"0.010"	"9.991"	"0.003"	""	""		"0.0000"	"1241.0"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"1/2"	4	2		""	"L19066"	
Fe	20	"10.008"	"0.010"	"10.008"	"0.003"	""	""		"0.0000"	"1238.9"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4D"	"5/2"	4	6		""	"L19066"	
Fe	20	"10.008"	"0.010"	"10.009"	"0.003"	""	""		"17.187"	"1256.0"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(1D).4d"	"2D"	"3/2"	4	4		""	"L19066"	
Fe	18	"10.03"	"0.10"	"10.030"	"0.005"	""	""		"0.0000"	"1236.1"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P).6d"	"2D"	"5/2"	4	6		""	"L4409"	
Fe	20	"10.034"	"0.010"	"10.034"	"0.003"	""	""		"21.837"	"1257.4"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).4d"	"2D"	"5/2"	6	6		""	"L19066"	
Fe	20	"10.034"	"0.010"	"10.034"	"0.003"	""	""		"21.837"	"1257.4"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(1D).4d"	"2G"	"7/2"	6	8		""	"L19066"	
Fe	20	"10.034"	"0.010"	"10.034"	"0.003"	""	""		"40.089"	"1275.7"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(1S).4d"	"2D"	"5/2"	4	6		""	"L19066"	
Fe	25	""	""	"10.037"	"0.010"	""	"8.08e+12"	B	"[6636.596]"	"[7871.84]"	"1s.2s"	"3S"	"1"	"1s.3p"	"3P*"	"1"	3	3		"T3221"	""	
Fe	20	"10.058"	"0.010"	"10.058"	"0.003"	""	""		"0.0000"	"1232.7"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4F"	"5/2"	4	6		""	"L19066"	
Fe	20	"10.121"	"0.010"	"10.121"	"0.003"	""	""		"17.187"	"1242.2"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(3P).4d"	"2D"	"5/2"	4	6		""	"L19066"	
Fe	20	"10.121"	"0.010"	"10.121"	"0.003"	""	""		"0.0000"	"1225.0"	"2s2.2p3"	"4S*"	"3/2"	"2s2.2p2.(3P).4d"	"4P"	"5/2"	4	6		""	"L19066"	
Fe	17	"10.123"	"0.003"	"10.124"	"0.004"	"2"	""		"0.000"	"1224.7"	"2s2.2p6"	"1S"	"0"	"2s.2p6.5p"	"3P*"	"1"	1	3		""	"L4008"	
Fe	17	"10.123"	"0.003"	"10.124"	"0.004"	"2"	""		"0.000"	"1224.7"	"2s2.2p6"	"1S"	"0"	"2s.2p6.5p"	"1P*"	"1"	1	3		""	"L4008"	
Fe	20	"10.159"	"0.010"	"10.160"	"0.003"	""	""		"21.837"	"1242.2"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(3P).4d"	"2F"	"7/2"	6	8		""	"L19066"	
Fe	20	"10.159"	"0.010"	"10.160"	"0.003"	""	""		"21.837"	"1242.2"	"2s2.2p3"	"2D*"	"5/2"	"2s2.2p2.(3P).4d"	"2D"	"5/2"	6	6		""	"L19066"	
Fe	20	"10.177"	"0.010"	"10.177"	"0.003"	""	""		"40.089"	"1258.3"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(1D).4d"	"2P"	"3/2"	4	4		""	"L19066"	
Fe	20	"10.177"	"0.010"	"10.177"	"0.003"	""	""		"40.089"	"1258.3"	"2s2.2p3"	"2P*"	"3/2"	"2s2.2p2.(1D).4d"	"2F"	"5/2"	4	6		""	"L19066"	
Fe	20	"10.177"	"0.010"	"10.178"	"0.003"	""	""		"17.187"	"1235.4"	"2s2.2p3"	"2D*"	"3/2"	"2s2.2p2.(3P).4d"	"2F"	"5/2"	4	6		""	"L19066"	
Fe	25	""	""	"10.204"	"0.010"	""	""		"[6665.549]"	"[7880.60]"	"1s.2p"	"3P*"	"0"	"1s.3d"	"3D"	"1"	1	3		""	"L11926"	
Fe	17	"10.221"	"0.003"	"10.221"	"0.004"	"1"	""		"0.000"	"1213.1"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).8d"	"2[3/2]*"	"1"	1	3		""	"L4008"	
Fe	25	""	""	"10.220"	"0.010"	""	"7.75e+12"	B	"[6668.023]"	"[7881.15]"	"1s.2s"	"1S"	"0"	"1s.3p"	"1P*"	"1"	1	3		"T3221"	""	
Fe	25	""	""	"10.221"	"0.010"	""	""		"[6667.569]"	"[7880.60]"	"1s.2p"	"3P*"	"1"	"1s.3d"	"3D"	"1"	3	3		""	"L11926"	
Fe	20	"10.222"	"0.010"	"10.222"	"0.003"	""	""		"32.269"	"1245.2"	"2s2.2p3"	"2P*"	"1/2"	"2s2.2p2.(3P).4d"	"2D"	"3/2"	2	4		""	"L19066"	
Fe	25	""	""	"10.222"	"0.010"	""	""		"[6667.569]"	"[7880.52]"	"1s.2p"	"3P*"	"1"	"1s.3d"	"3D"	"2"	3	5		""	"L11926"	
Fe	17	"10.320"	"0.003"	"10.320"	"0.005"	"2"	""		"0.000"	"1201.4"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<3/2>).8d"	"2[3/2]*"	"1"	1	3		""	"L4008"	
Fe	18	"10.33"	"0.10"	"10.331"	"0.005"	""	""		"0.0000"	"1200.2"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D).5d"	"2F"	"5/2"	4	6		""	"L4409"	
