obs_wl_air,prev_obs,prev
4459.12,Z20q-FeI/E15q-FeI/Z20o-FeI/E12q-FeI,Z20q/E15q/Z20o/E12q
4461.08,E12q-MnI,E12q
4461.65,E15q-FeI/E12q-FeI/A17o-FeI,E15q/E12q/A17o
4468.5,Z20q-TiII/E15q-TiII/Z20o-TiII/E12q-TiII/A17o-TiII,Z20q/E15q/Z20o/E12q/A17o
4471.58,E12q-HeI,E12q
4489.18,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,Z20q/E15q/Z20o/E12q/A17o
4491.41,E12q-FeII,E12q
4501.27,Z20q-TiII/E15q-TiII/Z20o-TiII/E12q-TiII,Z20q/E15q/Z20o/E12q
4502.22,E12q-MnI,E12q
4508.29,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII,Z20q/E15q/Z20o/E12q
4509.47,E12q-TiII,E12q
4515.34,E15q-FeII/E12q-FeII,E15q/E12q
4520.22,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII,Z20q/E15q/Z20o/E12q
4522.63,Z20q-FeII/Z20o-FeII/E12q-FeII,Z20q/Z20o/E12q
4528.61,E15q-FeI/E12q-FeI,E15q/E12q
4533.96,E12q-FeI/TiII,E12q
4541.52,E12q-FeII,E12q
4555.89,E15q-FeII/E12q-FeII,E15q/E12q
4558.66,Z20q-CrII/E15q-CrII/Z20o-CrII/E12q-CrII,Z20q/E15q/Z20o/E12q
4576.34,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII,Z20q/E15q/Z20o/E12q
4583.84,E12q-FeII,E12q
4588.2,Z20q-CrII/E15q-CrII/E12q-CrII,Z20q/E15q/E12q
4620.52,E15q-FeII/E12q-FeII,E15q/E12q
4629.34,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,Z20q/E15q/Z20o/E12q/A17o
4657.21,Z20q-TiII/Z20o-TiII/E12q-TiII,Z20q/Z20o/E12q
4666.76,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,Z20q/E15q/Z20o/E12q/A17o
4685.8,E12q-HeII,E12q
4713.16,E12q-HeI,E12q
4824.17,E12q-FeI/CrII,E12q
4824.17,E12q-CrII/FeI,E12q
4920.5,E15q-FeI/E12q-FeI,E15q/E12q
4921.93,E15q-HeI/E12q-HeI,E15q/E12q
4923.92,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,Z20q/E15q/Z20o/E12q/A17o
4957.3,E12q-FeI,E12q
5013.63,E12q-INDEF,E12q
5015.68,E15q-HeI/E12q-HeI,E15q/E12q
5047.74,E12q-HeI,E12q
5165.14,E12q-CoI,E12q
5167.32,E12q-MgI/FeI/A17o-MgI,E12q/A17o
5167.48,E12q-MgI/FeI,E12q
5169.03,E15q-FeII/Z20o-FeII/E12q-FeII/FeI,E15q/Z20o/E12q
5169.28,E12q-FeII/FeI,E12q
5171.67,E12q-FeI,E12q
5172.68,Z20q-MgI/E15q-MgI/Z20o-MgI/E12q-MgI/A17o-MgI,Z20q/E15q/Z20o/E12q/A17o
5183.6,Z20q-MgI/E15q-MgI/Z20o-MgI/E12q-MgI/A17o-MgI,Z20q/E15q/Z20o/E12q/A17o
5185.91,E15q-TiII/E12q-TiII,E15q/E12q
5197.58,Z20q-FeII/E15q-CrII/Z20o-FeII/E12q-FeII,Z20q/E15q/Z20o/E12q
5197.58,Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII,Z20q/E15q/Z20o/E12q
5232.94,E15q-FeI/E12q-FeI,E15q/E12q
5234.63,E15q-FeII/E12q-FeII,E15q/E12q
5264.81,E15q-FeII/E12q-FeII,E15q/E12q
5269.54,Z20q-FeI/E15q-FeI/Z20o-FeI/E12q-FeI,Z20q/E15q/Z20o/E12q
5270.36,E15q-FeI/E12q-FeI/A17o-FeI,E15q/E12q/A17o
5284.1,E12q-FeII,E12q
5328.04,Z20q-FeI/E15q-FeI/Z20o-FeI/E12q-FeI/A17o-FeI,Z20q/E15q/Z20o/E12q/A17o
5328.53,E15q-FeI/E12q-FeI/A17o-FeI,E15q/E12q/A17o
5362.86,E12q-FeII,E12q
5397.13,Z20q-FeI/E15q-FeI/Z20o-FeI/E12q-FeI/A17o-FeI,Z20q/E15q/Z20o/E12q/A17o
5405.77,E15q-FeI/E12q-FeI,E15q/E12q
5429.69,E12q-FeI,E12q
5446.91,E12q-FeI,E12q
5889.95,Z20q-NaI/Z20o-NaI/E12q-NaID/A17o-NaI,Z20q/Z20o/E12q/A17o
5895.92,Z20q-NaI/Z20o-NaI/E12q-NaID,Z20q/Z20o/E12q
5955.7,E12q-FeII,E12q
6182.59,E12q-INDEF,E12q
6456.87,E15q-CaII/E12q-CaII,E15q/E12q
7065.71,E12q-HeI,E12q
7281.35,E12q-HeI,E12q
7771.94,E15q-OI/Z20o-OI/E12q-OI,E15q/Z20o/E12q
7774.17,E15q-OI/Z20o-OI/E12q-OI,E15q/Z20o/E12q
7775.39,E15q-OI/Z20o-OI/E12q-OI,E15q/Z20o/E12q
8248.8,E15q-CaII/E12q-CaII/A17o-CaII,E15q/E12q/A17o
8446.25,E15q-OI/Z20o-OI/E12q-OI/A17o-OI,E15q/Z20o/E12q/A17o
8446.36,E12q-OI,E12q
8446.76,E12q-OI,E12q
8542.09,Z20o-CaII/E12q-CaII/A17o-CaII,Z20o/E12q/A17o
3895.66,E15q-FeI,E15q
3899.03,E15q-FeI,E15q
3899.71,E15q-FeI,E15q
3900.51,E15q-FeI,E15q
3903.9,E15q-FeI,E15q
3907.93,E15q-FeI,E15q
3917.18,E15q-FeI,E15q
3938.97,E15q-FeII,E15q
3940.88,E15q-FeI,E15q
3944.01,E15q-AlI,E15q
3961.52,E15q-AlI,E15q
3963.1,E15q-FeI,E15q
3964.73,E15q-HeI,E15q
3977.74,Z20q-FeI/E15q-FeI/Z20o-FeI,Z20q/E15q/Z20o
3986.17,E15q-FeI,E15q
3986.75,E15q-MgI,E15q
3997.39,E15q-FeI,E15q
3998.05,E15q-FeI,E15q
4004.83,E15q-FeI,E15q
4005.24,Z20q-FeI:s/E15q-FeI/Z20o-FeI:s,Z20q/E15q/Z20o
4012.47,E15q-CrII,E15q
4021.87,E15q-FeI,E15q
4025.01,E15q-CrI,E15q
4028.34,Z20q-TiII/E15q-TiII/Z20o-TiII,Z20q/E15q/Z20o
4035.59,E15q-FeI,E15q
4051.91,E15q-FeI,E15q
4053.83,Z20q-TiII/E15q-TiII/Z20o-TiII,Z20q/E15q/Z20o
4057.51,E15q-MgI,E15q
4062.44,E15q-FeI,E15q
4063.59,E15q-FeI,E15q
4077.68,E15q-CrI/A17o-CrI,E15q/A17o
4107.49,E15q-FeI,E15q
4110.9,E15q-MnI,E15q
4134.68,Z20q-FeI/E15q-FeI/Z20o-FeI,Z20q/E15q/Z20o
