# line table created 10-03-21 from NIST database
# elements h-zn I-II included for wavelength range 2000-20000 angstrom. Energy units in ev. Only lines with trans prob. All level information. No uncertainties. 
#Data c+p from NIST as tab-delim. No JS, no spaces in values 
# note that headers changed from ritz_wl_air to obs_wl_air for compatability with existing code, removed units from headers too
# read in as dataframe by pandas, with delim tab, index col false and comment char #
#strings stripped from ei and ek in pandas eg line_table['Ek(eV)']=line_table['Ek(eV)'].str.replace('[^\d.]', '').astype(float)
#element	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type


element	sp_num	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	rm
V	2	"2020.84717"	"5400"	"1.2e+07"	D+	"2.2651312"	"8.3984118"	"3d4"	"a 3D"	"1"	"3d2.(3F).4s.4p.(3P*)"	"v 3F*"	"2"	3	5		
Co	2	"2021.05193"	"470"	"1.6e+07"	D	"7.98475087"	"14.11741017"	"3d7.(2G).4p"	"z 1G*"	"4"	"3d7.(2H).4d"	"1H"	"5"	9	11		
O	2	"2021.4364"	"10"	"1.18e+07"	C	"25.8316247"	"31.963118"	"2s2.2p2.(3P).3p"	"4P*"	"1/2"	"2s2.2p2.(3P).5s"	"4P"	"3/2"	2	4		
Al	2	"2022.082"	"40"	"4.05e+07"	C+	"10.598337"	"16.727874"	"3p2"	"1D"	"2"	"3s.6p"	"1P*"	"1"	5	3		
Cu	2	"2022.19147"	"170000"	"1.14e+07"	C+	"8.48643755"	"14.61564148"	"3d9.4p"	"3F*"	"3"	"3d9.(2D<3/2>).4d"	"2[7/2]"	"4"	7	9		
Co	2	"2022.35364"	"33000"	"7.5e+07"	B	"0.11782516"	"6.24653767"	"3d8"	"a 3F"	"3"	"3d7.(4F).4p"	"z 3F*"	"3"	7	7		
Fe	2	"2023.11931"	"1800"	"1.1e+06"	D	"2.84411707"	"8.9705104"	"3d6.(3F2).4s"	"b 4F"	"5/2"	"3d6.(3D).4p"	"w 4F*"	"7/2"	6	8		
C	2	"2023.129"	""	"6.43e+05"	B	"20.701286"	"26.827650"	"2s.2p.(3P*).3s"	"4P*"	"1/2"	"2s.2p.(3P*).4p"	"4P"	"3/2"	2	4		
C	2	"2023.236"	""	"4.63e+05"	B	"20.704212"	"26.830251"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	"2s.2p.(3P*).4p"	"4P"	"5/2"	4	6		
O	2	"2023.3250"	"10"	"3.77e+06"	C	"25.8373471"	"31.963118"	"2s2.2p2.(3P).3p"	"4P*"	"3/2"	"2s2.2p2.(3P).5s"	"4P"	"3/2"	4	4		
V	2	"2023.56513"	"54000"	"1.4e+08"	D+	"2.5097359"	"8.6347797"	"3d3.(2H).4s"	"b 3H"	"4"	"3d2.(3F).4s.4p.(3P*)"	"v 3G*"	"3"	9	7		
Fe	2	"2023.70516"	"4000"	"1.7e+07"	D	"2.85551515"	"8.9801352"	"3d6.(3F2).4s"	"b 4F"	"3/2"	"3d6.(3D).4p"	"w 4D*"	"1/2"	4	2		
C	2	"2023.815"	""	"2.57e+05"	C	"20.701286"	"26.825573"	"2s.2p.(3P*).3s"	"4P*"	"1/2"	"2s.2p.(3P*).4p"	"4P"	"1/2"	2	2		
C	2	"2024.096"	""	"2.06e+05"	C+	"20.704212"	"26.827650"	"2s.2p.(3P*).3s"	"4P*"	"3/2"	"2s.2p.(3P*).4p"	"4P"	"3/2"	4	4		
Cu	1	"2024.3252"	"3000a,bl"	"9.8e+06"	B	"0.0000000"	"6.1227444"	"3d10.4s"	"2S"	"1/2"	"3d10.5p"	"2P*"	"1/2"	2	2		
