# line table created 10-03-21 from NIST database
# elements h-zn I-II included for wavelength range 2000-20000 angstrom. Energy units in ev. Only lines with trans prob. All level information. No uncertainties. 
#Data c+p from NIST as tab-delim. No JS, no spaces in values 
# note that headers changed from ritz_wl_air to obs_wl_air for compatability with existing code, removed units from headers too
# read in as dataframe by pandas, with delim tab, index col false and comment char #
#strings stripped from ei and ek in pandas eg line_table['Ek(eV)']=line_table['Ek(eV)'].str.replace('[^\d.]', '').astype(float)
#element	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type


element	sp_num	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	rm
B	1	"10067.791"	""	"3.5e+02"	D	"5.9335273"	"7.1646833"	"2s.2p2"	"2D"	"3/2"	"2s2.4p"	"2P*"	"3/2"	4	4		
Si	1	"10068.33"	""	"1.49e+06"	D+	"6.0986113"	"7.329702"	"3s2.3p.4p"	"3P"	"2"	"3s2.3p.4d"	"3D*"	"3"	5	7		
B	1	"10068.435"	""	"3.5e+03"	D	"5.9335273"	"7.1646047"	"2s.2p2"	"2D"	"3/2"	"2s2.4p"	"2P*"	"1/2"	4	2		
N	1	"10069.214"	""	"2.78e+04"	C	"11.7638464"	"12.9948285"	"2s2.2p2.(3P).3p"	"4D*"	"7/2"	"2s2.2p2.(3P).3d"	"2F"	"5/2"	8	6		
He	1	"10072.02526"	""	"7.0927e+04"	AAA	"[23.07365102990]"	"[24.30428952460]"	"1s.3d"	"3D"	"3"	"1s.7p"	"3P*"	"2"	7	5		
He	1	"10072.02617"	""	"6.3312e+04"	AAA	"[23.07365134140]"	"[24.30428972472]"	"1s.3d"	"3D"	"2"	"1s.7p"	"3P*"	"1"	5	3		
He	1	"10072.02781"	""	"1.2662e+04"	AAA	"[23.07365134140]"	"[24.30428952460]"	"1s.3d"	"3D"	"2"	"1s.7p"	"3P*"	"2"	5	5		
He	1	"10072.05091"	""	"8.4437e+04"	AAA	"[23.07365682165]"	"[24.30429218260]"	"1s.3d"	"3D"	"1"	"1s.7p"	"3P*"	"0"	3	1		
He	1	"10072.07102"	""	"2.1109e+04"	AAA	"[23.07365682165]"	"[24.30428972472]"	"1s.3d"	"3D"	"1"	"1s.7p"	"3P*"	"1"	3	3		
He	1	"10072.07266"	""	"8.4437e+02"	AAA	"[23.07365682165]"	"[24.30428952460]"	"1s.3d"	"3D"	"1"	"1s.7p"	"3P*"	"2"	3	5		
Fe	1	"10074.9982"	""	"7.9e-02"	E	"2.40407444"	"3.63434980"	"3d6.4s2"	"a 3H"	"6"	"3d6.4s2"	"a 1I"	"6"	13	13	M1	
Fe	2	"10075.1535"	"14"	"5.e+05"	E	"12.1870155"	"13.4172719"	"3d6.(3H).5s"	"e 4H"	"11/2"	"3d5.(2F1).4s.4p.(3P*)"	"4F*"	"9/2"	12	10		
Fe	2	"10076.0085"	"2.9"	"2.9e+05"	E	"12.4594232"	"13.6895752"	"3d6.(3F2).5s"	"e 2F"	"7/2"	"3d6.(3H).5p"	"2G*"	"7/2"	8	8		
Al	2	"10076.35"	""	"1.36e+07"	A	"11.846618"	"13.076729"	"3s.3d"	"3D"	"3"	"3s.4p"	"3P*"	"2"	7	5		
Al	2	"10077.46"	""	"2.43e+06"	A	"11.846753"	"13.076729"	"3s.3d"	"3D"	"2"	"3s.4p"	"3P*"	"2"	5	5		
C	1	"10077.58"	""	"6.e+03"	D	"9.697491047"	"10.927451"	"2s2.2p.3d"	"3F*"	"3"	"2s2.2p.7p"	"3D"	"3"	7	7		
C	1	"10077.80"	""	"8.9e+04"	C	"9.71295903"	"10.942892"	"2s2.2p.4s"	"1P*"	"1"	"2s2.2p.7p"	"1D"	"2"	3	5		
Al	2	"10078.40"	""	"1.62e+05"	B+	"11.846869"	"13.076729"	"3s.3d"	"3D"	"1"	"3s.4p"	"3P*"	"2"	3	5		
Cu	2	"10080.3499"	"11000"	"5.5e+07"	B	"17.14225144"	"18.37187365"	"3d9.(2D<3/2>).4f"	"2[7/2]*"	"3"	"3d9.(2D<3/2>).5g"	"2[9/2]"	"4"	7	9		
C	1	"10082.30"	""	"2.8e+05"	D	"9.33030708"	"10.559692"	"2s.2p3"	"3P*"	"1"	"2s2.2p.5p"	"3P"	"0"	3	1		
P	1	"10084.277"	"229"	"2.1e+07"	D	"7.2127021"	"8.4418455"	"3s2.3p2.(3P).4s"	"2P"	"3/2"	"3s2.3p2.(3P).4p"	"2P*"	"3/2"	4	4		
B	1	"10085.96"	""	"8.29e+05"	C+	"6.79032869"	"8.019266"	"2s2.3d"	"2D"	"3/2"	"2s2.7f"	"2F*"	"5/2"	4	6		
B	1	"10086.11"	""	"8.89e+05"	C+	"6.7903466"	"8.019266"	"2s2.3d"	"2D"	"5/2"	"2s2.7f"	"2F*"	"7/2"	6	8		
B	1	"10086.11"	""	"5.92e+04"	C+	"6.7903466"	"8.019266"	"2s2.3d"	"2D"	"5/2"	"2s2.7f"	"2F*"	"5/2"	6	6		
Li	2	"10090.39"	""	"7.567e+06"	AA	"72.234857"	"73.463255"	"1s.4d"	"3D"	"2"	"1s.5f"	"1F*"	"3"	5	7		
Li	2	"10091.02"	""	"3.4747e+07"	AAA	"72.234808"	"73.463131"	"1s.4d"	"3D"	"1"	"1s.5f"	"3F*"	"2"	3	5		
Li	2	"10091.07"	""	"1.003e+06"	AA	"72.234938"	"73.463255"	"1s.4d"	"3D"	"3"	"1s.5f"	"1F*"	"3"	7	7		
Li	2	"10091.41"	""	"6.4334e+06"	AAA	"72.234857"	"73.463131"	"1s.4d"	"3D"	"2"	"1s.5f"	"3F*"	"2"	5	5		
Li	2	"10091.41"	""	"2.9203e+07"	AAA	"72.234857"	"73.463131"	"1s.4d"	"3D"	"2"	"1s.5f"	"3F*"	"3"	5	7		
Li	2	"10092.08"	""	"1.8385e+05"	AAA	"72.234938"	"73.463131"	"1s.4d"	"3D"	"3"	"1s.5f"	"3F*"	"2"	7	5		
Li	2	"10092.08"	""	"3.5936e+06"	AAA	"72.234938"	"73.463131"	"1s.4d"	"3D"	"3"	"1s.5f"	"3F*"	"3"	7	7		
Li	2	"10092.08"	""	"4.1365e+07"	AAA	"72.234938"	"73.463131"	"1s.4d"	"3D"	"3"	"1s.5f"	"3F*"	"4"	7	9		
Cu	2	"10092.1155"	"990*"	"1.4e+06"	D+	"17.14225144"	"18.37044013"	"3d9.(2D<3/2>).4f"	"2[7/2]*"	"3"	"3d9.(2D<3/2>).5g"	"2[7/2]"	"4"	7	9		
Cu	2	"10092.151"	"990*"	"7.3e+06"	D+	"17.14225144"	"18.3704358"	"3d9.(2D<3/2>).4f"	"2[7/2]*"	"3"	"3d9.(2D<3/2>).5g"	"2[7/2]"	"3"	7	7		
C	1	"10093.463"	""	"1.2e+03"	D	"9.70715841"	"10.935183"	"2s2.2p.3d"	"3D*"	"1"	"2s2.2p.7p"	"3P"	"2"	3	5		
C	1	"10096.837"	""	"1.8e+04"	C	"9.17184612"	"10.3994604"	"2s2.2p.3p"	"1S"	"0"	"2s2.2p.5s"	"1P*"	"1"	1	3		
C	1	"10099.44"	""	"2.9e+04"	D	"9.70715841"	"10.934457"	"2s2.2p.3d"	"3D*"	"1"	"2s2.2p.7p"	"3P"	"1"	3	3		
C	1	"10101.34"	""	"9.e+03"	D	"9.69545167"	"10.922519"	"2s2.2p.3d"	"3F*"	"2"	"2s2.2p.7p"	"3D"	"2"	5	5		
O	2	"10102.36"	""	"3.99e+06"	C	"30.811970"	"32.038913"	"2s2.2p2.(3P).4p"	"2P*"	"3/2"	"2s2.2p2.(3P).5s"	"2P"	"1/2"	4	2		
N	1	"10105.132"	"250"	"2.81e+07"	B	"11.7500916"	"12.9766983"	"2s2.2p2.(3P).3p"	"4D*"	"1/2"	"2s2.2p2.(3P).3d"	"4F"	"3/2"	2	4		
C	1	"10105.481"	""	"8.e+04"	D	"9.69545167"	"10.922016"	"2s2.2p.3d"	"3F*"	"2"	"2s2.2p.7p"	"3D"	"1"	5	3		
Fe	2	"10105.5149"	"4bl(Fe I)"	"7.4e+04"	D+	"11.6616719"	"12.8882321"	"3d5.(4D).4s.4p.(3P*)"	"6D*"	"9/2"	"3d6.(5D).5d"	"6F"	"9/2"	10	10		
Al	2	"10107.44"	""	"1.21e+07"	A	"11.846753"	"13.073080"	"3s.3d"	"3D"	"2"	"3s.4p"	"3P*"	"1"	5	3		
C	1	"10107.887"	""	"1.8e+04"	D	"9.708910751"	"10.935183"	"2s2.2p.3d"	"3D*"	"2"	"2s2.2p.7p"	"3P"	"2"	5	5		
Li	2	"10108.29"	""	"3.2804e+07"	AAA	"72.237031"	"73.463255"	"1s.4d"	"1D"	"2"	"1s.5f"	"1F*"	"3"	5	7		
Al	2	"10108.39"	""	"4.02e+06"	A	"11.846869"	"13.073080"	"3s.3d"	"3D"	"1"	"3s.4p"	"3P*"	"1"	3	3		
N	1	"10108.892"	"300"	"3.02e+07"	B	"11.7528949"	"12.9790453"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	"2s2.2p2.(3P).3d"	"4F"	"5/2"	4	6		
Li	2	"10109.31"	""	"1.291e+03"	AA	"72.237031"	"73.463131"	"1s.4d"	"1D"	"2"	"1s.5f"	"3F*"	"2"	5	5		
Li	2	"10109.31"	""	"8.574e+06"	AA	"72.237031"	"73.463131"	"1s.4d"	"1D"	"2"	"1s.5f"	"3F*"	"3"	5	7		
N	1	"10112.481"	"350"	"3.41e+07"	B	"11.7575319"	"12.9832471"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).3d"	"4F"	"7/2"	6	8		
C	1	"10112.67"	""	"7.e+04"	D	"9.701759406"	"10.927451"	"2s2.2p.3d"	"3F*"	"4"	"2s2.2p.7p"	"3D"	"3"	9	7		
C	1	"10113.88"	""	"9.e+04"	D	"9.708910751"	"10.934457"	"2s2.2p.3d"	"3D*"	"2"	"2s2.2p.7p"	"3P"	"1"	5	3		
N	1	"10114.64"	"400"	"3.90e+07"	B	"11.7638464"	"12.989300"	"2s2.2p2.(3P).3p"	"4D*"	"7/2"	"2s2.2p2.(3P).3d"	"4F"	"9/2"	8	10		
N	1	"10115.459"	""	"7.6e+04"	C	"11.7500916"	"12.9754460"	"2s2.2p2.(3P).3p"	"4D*"	"1/2"	"2s2.2p2.(3P).3d"	"2P"	"1/2"	2	2		
C	1	"10118.15"	""	"7.e+04"	D	"9.697491047"	"10.922519"	"2s2.2p.3d"	"3F*"	"3"	"2s2.2p.7p"	"3D"	"2"	7	5		
C	1	"10118.751"	""	"1.0e+05"	D	"9.710227435"	"10.935183"	"2s2.2p.3d"	"3D*"	"3"	"2s2.2p.7p"	"3P"	"2"	7	5		
Fe	2	"10119.8361"	"8"	"1.2e+05"	D+	"11.6616719"	"12.8864963"	"3d5.(4D).4s.4p.(3P*)"	"6D*"	"9/2"	"3d6.(5D).5d"	"6F"	"11/2"	10	12		
Ti	1	"10120.895"	"130"	"1.5e+05"	E	"2.17470615"	"3.3994023"	"3d3.(2D2).4s"	"a 3D"	"3"	"3d2.(1D).4s.4p.(3P*)"	"x 3D*"	"2"	7	5		
Fe	2	"10121.9509"	"1.4"	"7.3e+04"	D+	"11.4256589"	"12.6502274"	"3d5.(4D).4s.4p.(3P*)"	"6F*"	"7/2"	"3d6.(5D).6s"	"6D"	"7/2"	8	8		
Al	2	"10122.70"	""	"1.60e+07"	A	"11.846869"	"13.071347"	"3s.3d"	"3D"	"1"	"3s.4p"	"3P*"	"0"	3	1		
He	2	"10122.85344"	""	"1.9822e+07"	AA	"(51.01666119611)"	"(52.2411205110)"	"4p"	"2P*"	"1/2"	"5d"	"2D"	"3/2"	2	4		
He	2	"10122.91327"	""	"1.1802e+07"	AA	"(51.01666851092)"	"(52.241120588933)"	"4s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"	2	4		
He	2	"10123.20605"	""	"3.4423e+06"	AA	"(51.01666119611)"	"(52.2410778621)"	"4p"	"2P*"	"1/2"	"5s"	"2S"	"1/2"	2	2		
He	2	"10123.29752"	""	"1.1801e+07"	AA	"(51.01666851092)"	"(52.24107411273)"	"4s"	"2S"	"1/2"	"5p"	"2P*"	"1/2"	2	2		
He	2	"10123.47485"	""	"3.8612e+07"	AA	"(51.0167518192)"	"(52.2411359737)"	"4d"	"2D"	"3/2"	"5f"	"2F*"	"5/2"	4	6		
He	2	"10123.47587"	""	"2.3784e+07"	AA	"(51.01675197039)"	"(52.2411360019)"	"4p"	"2P*"	"3/2"	"5d"	"2D"	"5/2"	4	6		
He	2	"10123.60206"	""	"3.0167e+05"	AA	"(51.0167518192)"	"(52.241120588933)"	"4d"	"2D"	"3/2"	"5p"	"2P*"	"3/2"	4	4		
He	2	"10123.60395"	""	"3.9639e+06"	AA	"(51.01675197039)"	"(52.2411205110)"	"4p"	"2P*"	"3/2"	"5d"	"2D"	"3/2"	4	4		
He	2	"10123.66065"	""	"6.5665e+07"	AA	"(51.0167820202)"	"(52.24114370425)"	"4f"	"2F*"	"5/2"	"5g"	"2G"	"7/2"	6	8		
He	2	"10123.66098"	""	"4.1369e+07"	AA	"(51.0167820747)"	"(52.2411437189)"	"4d"	"2D"	"5/2"	"5f"	"2F*"	"7/2"	6	8		
He	2	"10123.72433"	""	"3.8475e+04"	AA	"(51.0167820202)"	"(52.2411360019)"	"4f"	"2F*"	"5/2"	"5d"	"2D"	"5/2"	6	6		
He	2	"10123.72502"	""	"2.7579e+06"	AA	"(51.0167820747)"	"(52.2411359737)"	"4d"	"2D"	"5/2"	"5f"	"2F*"	"5/2"	6	6		
He	2	"10123.74730"	""	"6.8095e+07"	AA	"(51.0167971475)"	"(52.24114835134)"	"4f"	"2F*"	"7/2"	"5g"	"2G"	"9/2"	8	10		
He	2	"10123.78573"	""	"2.4319e+06"	AA	"(51.0167971475)"	"(52.24114370425)"	"4f"	"2F*"	"7/2"	"5g"	"2G"	"7/2"	8	8		
He	2	"10123.84942"	""	"7.6950e+05"	AA	"(51.0167971475)"	"(52.2411360019)"	"4f"	"2F*"	"7/2"	"5d"	"2D"	"5/2"	8	6		
He	2	"10123.85223"	""	"2.7150e+06"	AA	"(51.0167820747)"	"(52.241120588933)"	"4d"	"2D"	"5/2"	"5p"	"2P*"	"3/2"	6	4		
He	2	"10123.85242"	""	"8.0800e+05"	AA	"(51.0167820202)"	"(52.2411205110)"	"4f"	"2F*"	"5/2"	"5d"	"2D"	"3/2"	6	4		
C	1	"10123.8651"	"1600000"	"2.0e+07"	C+	"8.53709962"	"9.76143658"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.3d"	"1P*"	"1"	3	3		
He	2	"10123.95661"	""	"6.8841e+06"	AA	"(51.01675197039)"	"(52.2410778621)"	"4p"	"2P*"	"3/2"	"5s"	"2S"	"1/2"	4	2		
He	2	"10123.98636"	""	"3.0169e+06"	AA	"(51.0167518192)"	"(52.24107411273)"	"4d"	"2D"	"3/2"	"5p"	"2P*"	"1/2"	4	2		
Ti	2	"10125.962"	":"	"3.5e-02"	E	"0.00000000"	"1.2240835"	"3d2.(3F).4s"	"a 4F"	"3/2"	"3d2.(3P).4s"	"b 4P"	"1/2"	4	2	M1+E2	
Li	2	"10127.44"	""	"2.325e+05"	AA	"72.238522"	"73.462427"	"1s.4f"	"3F*"	"3"	"1s.5d"	"1D"	"2"	7	5		
N	1	"10128.279"	""	"9.84e+06"	B	"11.7528949"	"12.9766983"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	"2s2.2p2.(3P).3d"	"4F"	"3/2"	4	4		
Li	2	"10128.54"	""	"5.8502e+05"	AAA	"72.238654"	"73.462427"	"1s.4f"	"1F*"	"3"	"1s.5d"	"1D"	"2"	7	5		
Si	1	"10131.101"	""	"4.07e+04"	E	"6.0986113"	"7.3220738"	"3s2.3p.4p"	"3P"	"2"	"3s2.3p.4d"	"3D*"	"1"	5	3		
C	1	"10132.61"	""	"1.2e+05"	D	"9.70715841"	"10.930438"	"2s2.2p.3d"	"3D*"	"1"	"2s2.2p.7p"	"3P"	"0"	3	1		
Fe	2	"10134.9418"	"3.1"	"1.6e+06"	E	"12.2829242"	"13.5059231"	"3d6.(3P2).5s"	"2P"	"3/2"	"3d6.(3P2).5p"	"2D*"	"5/2"	4	6		
Al	2	"10136.30"	""	"2.63e+06"	C+	"16.727874"	"17.950709"	"3s.6p"	"1P*"	"1"	"3s.8d"	"1D"	"2"	3	5		
Li	2	"10137.38"	""	"1.8846e+03"	AAA	"72.238522"	"73.461226"	"1s.4f"	"3F*"	"2"	"1s.5d"	"3D"	"3"	5	7		
Li	2	"10137.38"	""	"4.6475e+04"	AAA	"72.238522"	"73.461226"	"1s.4f"	"3F*"	"3"	"1s.5d"	"3D"	"3"	7	7		
Li	2	"10137.38"	""	"7.6329e+05"	AAA	"72.238522"	"73.461226"	"1s.4f"	"3F*"	"4"	"1s.5d"	"3D"	"3"	9	7		
Li	2	"10138.06"	""	"9.2333e+04"	AAA	"72.238522"	"73.461145"	"1s.4f"	"3F*"	"2"	"1s.5d"	"3D"	"2"	5	5		
Li	2	"10138.06"	""	"5.2951e+05"	AAA	"72.238522"	"73.461145"	"1s.4f"	"3F*"	"3"	"1s.5d"	"3D"	"2"	7	5		
He	1	"10138.42358"	"1"	"1.1248e+06"	AAA	"[23.0870188528]"	"[24.309597704313]"	"1s.3p"	"1P*"	"1"	"1s.7d"	"1D"	"2"	3	5		
Li	2	"10138.46"	""	"8.3113e+05"	AAA	"72.238522"	"73.461096"	"1s.4f"	"3F*"	"2"	"1s.5d"	"3D"	"1"	5	3		
Li	2	"10138.48"	""	"1.948e+04"	AA	"72.238654"	"73.461226"	"1s.4f"	"1F*"	"3"	"1s.5d"	"3D"	"3"	7	7		
N	1	"10138.653"	""	"2.08e+04"	C	"11.7528949"	"12.9754460"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	"2s2.2p2.(3P).3d"	"2P"	"1/2"	4	2		
Li	2	"10139.16"	""	"2.093e+05"	AA	"72.238654"	"73.461145"	"1s.4f"	"1F*"	"3"	"1s.5d"	"3D"	"2"	7	5		
C	2	"10144.29"	""	"2.00e+05"	B	"23.381095"	"24.602967"	"2s.2p.(3P*).3p"	"2D"	"3/2"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	4	6		
N	1	"10147.267"	""	"7.32e+06"	B	"11.7575319"	"12.9790453"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).3d"	"4F"	"5/2"	6	6		
N	1	"10155.080"	""	"4.35e+05"	C	"11.7500916"	"12.9706652"	"2s2.2p2.(3P).3p"	"4D*"	"1/2"	"2s2.2p2.(3P).3d"	"2P"	"3/2"	2	4		
C	2	"10155.50"	""	"2.69e+06"	B	"23.381095"	"24.601618"	"2s.2p.(3P*).3p"	"2D"	"3/2"	"2s.2p.(3P*).3d"	"2D*"	"3/2"	4	4		
Si	1	"10156.13"	""	"3.63e+05"	D	"6.0986113"	"7.319059"	"3s2.3p.4p"	"3P"	"2"	"3s2.3p.4d"	"3D*"	"2"	5	5		
Cu	2	"10162.8099"	"3800"	"1.25e+07"	C+	"16.89532667"	"18.11497188"	"3d9.(2D<5/2>).4f"	"2[9/2]*"	"4"	"3d9.(2D<5/2>).5g"	"2[9/2]"	"4"	9	9		
Mg	2	"10163.60"	""	"1.18e+04"	C+	"12.794766"	"14.014317"	"2p6.6s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"3/2"	2	4		
N	1	"10164.848"	""	"3.83e+06"	B	"11.7638464"	"12.9832471"	"2s2.2p2.(3P).3p"	"4D*"	"7/2"	"2s2.2p2.(3P).3d"	"4F"	"7/2"	8	8		
Mg	2	"10166.53"	""	"1.02e+04"	C+	"12.794766"	"14.013965"	"2p6.6s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"1/2"	2	2		
N	1	"10166.801"	""	"5.64e+05"	B	"11.7575319"	"12.9766983"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).3d"	"4F"	"3/2"	6	4		
Cu	2	"10166.8192"	"18000"	"4.4e+07"	B	"16.89532667"	"18.11449091"	"3d9.(2D<5/2>).4f"	"2[9/2]*"	"4"	"3d9.(2D<5/2>).5g"	"2[11/2]"	"5"	9	11		
O	1	"10167.256"	""	"3.61e+02"	C	"9.5213638"	"10.7404756"	"2s2.2p3.(4S*).3s"	"3S*"	"1"	"2s2.2p3.(4S*).3p"	"5P"	"2"	3	5		
O	1	"10169.346"	""	"1.97e+02"	C	"9.5213638"	"10.7402250"	"2s2.2p3.(4S*).3s"	"3S*"	"1"	"2s2.2p3.(4S*).3p"	"5P"	"1"	3	3		
Ti	1	"10170.486"	"37"	"6.00e+03"	C+	"1.44315262"	"2.6618773"	"3d3.(4F).4s"	"b 3F"	"3"	"3d2.(3F).4s.4p.(3P*)"	"z 3G*"	"3"	7	7		
C	1	"10172.02"	""	"1.5e+03"	D	"9.708910751"	"10.927451"	"2s2.2p.3d"	"3D*"	"2"	"2s2.2p.7p"	"3D"	"3"	5	7		
Fe	2	"10173.5150"	"260"	"1.2e+04"	D	"5.51071390"	"6.72907574"	"3d6.(5D).4p"	"z 4D*"	"7/2"	"3d5.4s2"	"b 4G"	"9/2"	8	10		
Cu	2	"10176.4346"	"1700"	"1.4e+06"	D+	"16.89532667"	"18.11333896"	"3d9.(2D<5/2>).4f"	"2[9/2]*"	"4"	"3d9.(2D<5/2>).5g"	"2[7/2]"	"3"	9	7		
Na	1	"10177.07"	""	"2.70e+05"	C	"3.7526285"	"4.9705650"	"2p6.4p"	"2P*"	"1/2"	"2p6.9d"	"2D"	"3/2"	2	4		
N	1	"10178.457"	""	"1.63e+04"	C	"11.7528949"	"12.9706652"	"2s2.2p2.(3P).3p"	"4D*"	"3/2"	"2s2.2p2.(3P).3d"	"2P"	"3/2"	4	4		
C	2	"10179.22"	""	"2.77e+06"	B	"23.385288"	"24.602967"	"2s.2p.(3P*).3p"	"2D"	"5/2"	"2s.2p.(3P*).3d"	"2D*"	"5/2"	6	6		
Na	1	"10182.86"	""	"3.23e+05"	C	"3.7533216"	"4.9705650"	"2p6.4p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"5/2"	4	6		
Na	1	"10182.86"	""	"5.4e+04"	C	"3.7533216"	"4.9705650"	"2p6.4p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"3/2"	4	4		
C	1	"10183.02"	""	"1.2e+04"	D	"9.710227435"	"10.927451"	"2s2.2p.3d"	"3D*"	"3"	"2s2.2p.7p"	"3D"	"3"	7	7		
Ti	1	"10189.139"	"39"	"6.00e+03"	C+	"1.46013860"	"2.6766322"	"3d3.(4F).4s"	"b 3F"	"4"	"3d2.(3F).4s.4p.(3P*)"	"z 3G*"	"4"	9	9		
C	2	"10190.51"	""	"2.95e+05"	B	"23.385288"	"24.601618"	"2s.2p.(3P*).3p"	"2D"	"5/2"	"2s.2p.(3P*).3d"	"2D*"	"3/2"	6	4		
Li	2	"10196.29"	""	"2.8950e+01"	AAA	"72.261724"	"73.477364"	"1s.4p"	"1P*"	"1"	"1s.5p"	"1P*"	"1"	3	3	E2	
C	1	"10198.63"	""	"2.0e+03"	D	"9.70715841"	"10.922519"	"2s2.2p.3d"	"3D*"	"1"	"2s2.2p.7p"	"3D"	"2"	3	5		
N	1	"10199.995"	""	"2.39e+05"	B	"11.7638464"	"12.9790453"	"2s2.2p2.(3P).3p"	"4D*"	"7/2"	"2s2.2p2.(3P).3d"	"4F"	"5/2"	8	6		
C	1	"10202.860"	""	"1.0e+04"	D	"9.70715841"	"10.922016"	"2s2.2p.3d"	"3D*"	"1"	"2s2.2p.7p"	"3D"	"1"	3	3		
P	1	"10204.716"	""	"8.3e+06"	D	"7.2127021"	"8.4273389"	"3s2.3p2.(3P).4s"	"2P"	"3/2"	"3s2.3p2.(3P).4p"	"2P*"	"1/2"	4	2		
Fe	2	"10207.5716"	"9"	"3.1e+05"	E	"12.2056752"	"13.4199721"	"3d6.(3H).5s"	"e 4H"	"9/2"	"3d5.(2F1).4s.4p.(3P*)"	"4D*"	"7/2"	10	8		
Ni	2	"10208.96"	""	"6.8e-03"	E	"1.859214"	"3.073345"	"3p6.3d8.(3F).4s"	"2F"	"5/2"	"3p6.3d8.(3P).4s"	"4P"	"3/2"	6	4	M1	
Ni	2	"10208.96"	""	"1.3e-05"	E	"1.859214"	"3.073345"	"3p6.3d8.(3F).4s"	"2F"	"5/2"	"3p6.3d8.(3P).4s"	"4P"	"3/2"	6	4	E2	
N	1	"10211.5"	""	"9.10e+06"	C	"13.7028638"	"14.91669"	"2s2.2p2.(1D).3p"	"2D*"	"3/2"	"2s2.2p2.(1D).3d"	"2P"	"1/2"	4	2		
N	1	"10213.2"	""	"8.48e+05"	C	"13.7028638"	"14.91649"	"2s2.2p2.(1D).3p"	"2D*"	"3/2"	"2s2.2p2.(1D).3d"	"2P"	"3/2"	4	4		
C	1	"10213.36"	""	"9.e+03"	D	"9.708910751"	"10.922519"	"2s2.2p.3d"	"3D*"	"2"	"2s2.2p.7p"	"3D"	"2"	5	5		
N	1	"10217.362"	""	"4.34e+03"	C	"11.7575319"	"12.9706652"	"2s2.2p2.(3P).3p"	"4D*"	"5/2"	"2s2.2p2.(3P).3d"	"2P"	"3/2"	6	4		
C	1	"10217.599"	""	"3.3e+03"	D	"9.708910751"	"10.922016"	"2s2.2p.3d"	"3D*"	"2"	"2s2.2p.7p"	"3D"	"1"	5	3		
C	1	"10224.45"	""	"2.1e+03"	D	"9.710227435"	"10.922519"	"2s2.2p.3d"	"3D*"	"3"	"2s2.2p.7p"	"3D"	"2"	7	5		
C	1	"10225.7952"	""	"2.4e+03"	C	"9.17184612"	"10.38397899"	"2s2.2p.3p"	"1S"	"0"	"2s2.2p.5s"	"3P*"	"1"	1	3		
Fe	1	"10229.8164"	""	"3.5e-03"	E	"1.01105568"	"2.22271209"	"3d7.(4F).4s"	"a 5F"	"1"	"3d7.(4P).4s"	"a 5P"	"1"	3	3	E2	
He	1	"10233.10199"	""	"6.7731e+05"	AAA	"[23.0870188528]"	"[24.2982862291]"	"1s.3p"	"1P*"	"1"	"1s.7s"	"1S"	"0"	3	1		
Fe	1	"10235.1787"	""	"2.9e-02"	E	"2.42419831"	"3.63521992"	"3d6.4s2"	"a 3P2"	"1"	"3d6.4s2"	"b 3D"	"1"	3	3	M1	
Fe	1	"10235.1787"	""	"1.0e-03"	E	"2.42419831"	"3.63521992"	"3d6.4s2"	"a 3P2"	"1"	"3d6.4s2"	"b 3D"	"1"	3	3	E2	
V	2	"10235.748"	""	"1.7e-03"	E	"2.76157898"	"3.9725332"	"3d3.(2P).4s"	"a 1P"	"1"	"3d4"	"d 3P1"	"2"	3	5	E2	
C	2	"10237.24"	""	"3.68e+06"	B	"20.919796"	"22.130573"	"2p3"	"2P*"	"1/2"	"2s2.5d"	"2D"	"3/2"	2	4		
N	1	"10238.1"	""	"8.00e+06"	C	"13.7058146"	"14.91649"	"2s2.2p2.(1D).3p"	"2D*"	"5/2"	"2s2.2p2.(1D).3d"	"2P"	"3/2"	6	4		
Fe	2	"10246.4096"	"1.6bl(Fe II)*"	"9.e+04"	D+	"11.4405332"	"12.6502274"	"3d6.(3P1).4p"	"4P*"	"5/2"	"3d6.(5D).6s"	"6D"	"7/2"	6	8		
Cu	2	"10247.038"	"1300"	"1.9e+06"	D+	"16.9610553"	"18.1706754"	"3d8.(3F).4s.4p.(1P*)"	"3D*"	"2"	"3d9.(2D<5/2>).6d"	"2[7/2]"	"3"	5	7		
