w0,vel_diff,rv_wl,obs_wl_air,prev_obs,element,sp_num,intens,Aki,Acc,Ei,Ek,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,prev,rv_shift,vsini_shift,f0_flat,f0_data,SNR,multi,tar_inst,abs_vel_diff
5183.6,-134.116704954938,5185.92,5185.91,E15q-TiII/E12q-TiII,Ti,2,155,1010000,B+,1.89270559,4.28283327,3d2.(1G).4s,b 2G,7/2,3d2.(3F).4p,z 2G*,7/2,8,8,,E15q/E12q,0.01,1.73,1.06537421074765,0.006812839405653,11.7600747042389,yes,EX_Lupi_all,134.116704954938
5197,-34.0306854176731,5197.59,5197.58,Z20q-FeII/E15q-CrII/Z20o-FeII/E12q-FeII,Fe,2,500,550000,C,3.23045937,5.61522263,3d6.(3G).4s,a 4G,5/2,3d6.(5D).4p,z 4F*,3/2,6,4,,Z20q/E15q/Z20o/E12q,0.01,1.73,0.207007180502949,0.004437969994372,2.28503739105918,yes,EX_Lupi_all,34.0306854176731
5234.6,-1.71812978948343,5234.63,5234.62,E12o-FeII/Z20q-FeII/E15q-FeII/Z20o-FeII,Fe,2,600,250000,D+,3.22131344,5.5891955,3d6.(3G).4s,a 4G,7/2,3d6.(5D).4p,z 4F*,5/2,8,6,,E12o/Z20q/E15q/Z20o,0.01,1.75,0.679951781639029,0.006361570732373,7.50561039181129,yes,EX_Lupi_all,1.71812978948343
5234.6,-2.29083534302055,5234.64,5234.63,E15q-FeII/E12q-FeII,Fe,2,600,250000,D+,3.22131344,5.5891955,3d6.(3G).4s,a 4G,7/2,3d6.(5D).4p,z 4F*,5/2,8,6,,E15q/E12q,0.01,1.75,0.679951781639029,0.006361570732373,7.50561039181129,yes,EX_Lupi_all,2.29083534302055
5269.5,-0.56891904182086,5269.51,5269.5,A17o-FeI,V,2,,0.034,D,1.4004649,3.7526931,3d4,a 3P2,0,3d3.(2F).4s,c 3F,2,1,5,E2,A17o,0.01,1.76,0.399012654155168,0.004933157724572,4.40447926509165,yes,EX_Lupi_all,0.56891904182086
5269.5,-2.8445736163533,5269.55,5269.54,Z20q-FeI/E15q-FeI/Z20o-FeI/E12q-FeI,Fe,1,1020000,1270000,A,0.85899575,3.21118938,3d7.(4F).4s,a 5F,5,3d6.(5D).4s.4p.(3P*),z 5D*,4,11,9,,Z20q/E15q/Z20o/E12q,0.01,1.76,0.399012654155168,0.004933157724572,4.40447926509165,yes,EX_Lupi_all,2.8445736163533
5276,-0.56821813834042,5276.01,5276,E12o-FeII/Z20q-FeII/Z20o-FeII/E12q-FeII,Fe,2,500,380000,C,3.19945278,5.54876624,3d6.(3G).4s,a 4G,9/2,3d6.(5D).4p,z 4F*,7/2,10,8,,E12o/Z20q/Z20o/E12q,0.01,1.76,0.628236746237555,0.00589934596189,6.93475681424356,yes,EX_Lupi_all,0.56821813834042
5284.1,-0.567347118018508,5284.11,5284.1,E12q-FeII,Fe,2,90,19000,E,2.8910183,5.23672772,3d5.4s2,a 6S,5/2,3d6.(5D).4p,z 6F*,7/2,6,8,,E12q,0.01,1.76,0.290161500251623,0.004990693600553,3.20293178193083,yes,EX_Lupi_all,0.567347118018508
5284.1,-1.1346920887221,5284.12,5284.11,E12o-FeII/Z20q-FeII/E15q-FeII/Z20o-FeII,Fe,2,90,19000,E,2.8910183,5.23672772,3d5.4s2,a 6S,5/2,3d6.(5D).4p,z 6F*,7/2,6,8,,E12o/Z20q/E15q/Z20o,0.01,1.76,0.290161500251623,0.004990693600553,3.20293178193083,yes,EX_Lupi_all,1.1346920887221
5316.6,-1.12775582228149,5316.62,5316.61,A17o-FeII,Fe,2,1200,390000,C,3.15276806,5.48413599,3d6.(3G).4s,a 4G,11/2,3d6.(5D).4p,z 4F*,9/2,12,10,,A17o,0.01,1.77,1.12416425812254,0.006652571134233,12.4090254128442,yes,EX_Lupi_all,1.12775582228149
